sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
GethreadGroup:JUnit RequestNewUser,100,10,10,13,7,20,0.0,4.944375772558714,0.0
TOTAL,100,10,10,13,7,20,0.0,4.944375772558714,0.0
