sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
PutThreadGroup:JUnit RequestNewUser,1000,14,14,20,3,97,0.0,43.07188697936857,0.0
TOTAL,1000,14,14,20,3,97,0.0,43.07188697936857,0.0
