sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
GethreadGroup:JUnit RequestNewUser,1000,24,12,76,2,366,0.227,42.918454935622314,11.436007913090128
TOTAL,1000,24,12,76,2,366,0.227,42.918454935622314,11.436007913090128
