sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
JUnit RequestNewUser,2000,66,9,185,3,1072,0.003,3.441754331017606,0.012120084099267077
TOTAL,2000,66,9,185,3,1072,0.003,3.441754331017606,0.012120084099267077
