sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
JUnit RequestNewUser,2000,61,8,110,4,1448,0.0,3.452609482246682,0.0
TOTAL,2000,61,8,110,4,1448,0.0,3.452609482246682,0.0
