sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
GethreadGroup:JUnit RequestNewUser,1000,30,12,92,2,397,0.21,42.868778668495736,10.567321397950872
TOTAL,1000,30,12,92,2,397,0.21,42.868778668495736,10.567321397950872
