sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
PutThreadGroup:JUnit RequestNewUser,1000,97661,106326,173113,309,195389,0.0,4.772677376554699,0.0
TOTAL,1000,97661,106326,173113,309,195389,0.0,4.772677376554699,0.0
