sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
GethreadGroup:JUnit RequestNewUser,1000,13,7,11,2,381,0.002,43.361373688318444,0.10179759994796635
TOTAL,1000,13,7,11,2,381,0.002,43.361373688318444,0.10179759994796635
