sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
PutThreadGroup:JUnit RequestNewUser,1000,20639,17827,47418,40,56853,0.0,14.370293728803818,0.0
TOTAL,1000,20639,17827,47418,40,56853,0.0,14.370293728803818,0.0
