sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
GethreadGroup:JUnit RequestNewUser,1000,55,12,28,2,1662,0.26,43.084877208099954,13.149302563550194
TOTAL,1000,55,12,28,2,1662,0.26,43.084877208099954,13.149302563550194
